index,disease_name,supplement name,supplement image,buy link
0,Apple___Apple_scab,Tilt 250EC 200ml Propiconazole Syngenta Fungicide,https://image2url.com/images/1763633673840-1723ceb1-1a94-4366-af19-6db6f3c0d7be.png,https://www.amazon.in/Essential-Fertilizer-Filtered-Nutrients-Micro-Organism/dp/B0B5P79XB3?th=1
1,Apple___Black_rot,Azonil Fungicide 560SC 500ML,https://image2url.com/images/1763633673840-1723ceb1-1a94-4366-af19-6db6f3c0d7be.png,https://www.amazon.in/Essential-Fertilizer-Filtered-Nutrients-Micro-Organism/dp/B0B5P79XB3?th=1
2,Apple___Cedar_apple_rust,Sulphur 80 Fmc Sulfer Fungicides,https://image2url.com/images/1763634034567-6c3b2a68-a5f7-4ced-b295-e482ee4056ea.png,https://amzn.in/d/8pZFuuZ
3,Apple___healthy,Ammonium Sulphate | Manuachar Amonium Salfate Amunium Nitrogen 21 Sulfur 24 ,https://image2url.com/images/1763634078027-7041a43d-31c0-495c-9bdb-2f0701bad263.png,https://amzn.in/d/fsAyZlm
4,Background_without_leaves,,,
5,Blueberry___healthy,GreenStix Fertilizer,https://image2url.com/images/1763634292187-585818eb-d1b1-4e8c-9dfb-87ae7bce22b0.png,https://amzn.in/d/czAVYev
6,Cherry___Powdery_mildew,ROM Mildew CleanSuccess 250gm Chlorothalonill + Metalaxy Arysta Life Science,https://image2url.com/images/1763634442361-0f57b676-fa30-48cd-976b-66bef2606025.png,https://amzn.in/d/d2CswqR
7,Cherry___healthy,Calcium Poly Sulphide 30kg Liquid Fertilizer ,https://image2url.com/images/1763634442361-0f57b676-fa30-48cd-976b-66bef2606025.png,https://amzn.in/d/d2CswqR
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,Antracol 70WP Propineb 1kg Bayer Crop Science Best Fungicide,https://image2url.com/images/1763634624580-2b841c08-199c-4364-b3f2-06e46375be62.png,https://amzn.in/d/ggYNYbh
9,Corn___Common_rust,Cymoxanil + Mancozeb 72WP Fungicide FMC,https://image2url.com/images/1763634624580-2b841c08-199c-4364-b3f2-06e46375be62.png,https://amzn.in/d/ggYNYbh
10,Corn___Northern_Leaf_Blight,Limin Lingxiu 32.5% Sc 250ml Ici Azoxystrobin 20%+diafenoconazole 12.5%,https://image2url.com/images/1763634624580-2b841c08-199c-4364-b3f2-06e46375be62.png,https://amzn.in/d/ggYNYbh
11,Corn___healthy,Rhizophos 1Litre Agritech Crop Science Phosphorus Solubilizing Bacteria Consultant,https://image2url.com/images/1763634624580-2b841c08-199c-4364-b3f2-06e46375be62.png,https://amzn.in/d/ggYNYbh
12,Grape___Black_rot,Southern Ag Captan 50% WP Fungicide,https://image2url.com/images/1763634725557-a3b12200-9de9-4597-ba70-3090190ff2f5.png,https://amzn.in/d/gj91bji
13,Grape___Esca_(Black_Measles),ALIETTE FUNGICIDE,https://image2url.com/images/1763634725557-a3b12200-9de9-4597-ba70-3090190ff2f5.png,https://amzn.in/d/gj91bji
14,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"Tebulur Tebuconazole 10% + Sulphur 65% WG , Advance Broad Spectrum Premix Fungicides",https://image2url.com/images/1763634801062-78028ca6-fb2f-4fb6-a86d-4d3bb3c3b385.png,https://amzn.in/d/2NalWuD
15,Grape___healthy,Sansar Green Grapes Fertilizer Fertilizer,https://image2url.com/images/1763634801062-78028ca6-fb2f-4fb6-a86d-4d3bb3c3b385.png,https://amzn.in/d/2NalWuD
16,Orange___Haunglongbing_(Citrus_greening),Green Dews CITRUS PLANT FOOD Fertilizer ,https://image2url.com/images/1763634801062-78028ca6-fb2f-4fb6-a86d-4d3bb3c3b385.png,https://amzn.in/d/2NalWuD
17,Peach___Bacterial_spot,SCORE FUNGICIDE,https://image2url.com/images/1763634964603-60ecb9cf-639b-4f05-974c-47b453c52885.png,https://amzn.in/d/iSqPNcH
18,Peach___healthy,Jeevamrut (Plant Growth Tonic),https://image2url.com/images/1763634964603-60ecb9cf-639b-4f05-974c-47b453c52885.png,https://amzn.in/d/iSqPNcH
19,"Pepper,_bell___Bacterial_spot",Systemic Fungicide (Domark) Tetraconazole 3.8% w/w (4% w/v) EW,https://image2url.com/images/1763634964603-60ecb9cf-639b-4f05-974c-47b453c52885.png,https://amzn.in/d/iSqPNcH
20,"Pepper,_bell___healthy",Casa De Amor Organic Potash Fertilizer,https://image2url.com/images/1763634964603-60ecb9cf-639b-4f05-974c-47b453c52885.png,https://amzn.in/d/iSqPNcH
21,Potato___Early_blight,Parin Herbal Fungicides (With Turmeric Extract),https://image2url.com/images/1763635265244-0edee8b1-7f35-41a8-b6d0-05a078c37562.png,https://amzn.in/d/8cK4q8K
22,Potato___Late_blight,Syngenta Ridomil gold Fungicide ,https://image2url.com/images/1763635265244-0edee8b1-7f35-41a8-b6d0-05a078c37562.png,https://amzn.in/d/8cK4q8K
23,Potato___healthy,Saosis Fertilizer for potato Fertilizer,https://image2url.com/images/1763635323583-67497610-dc7e-407a-aecc-1e286d4f4182.png,https://amzn.in/d/8X7gLmX
24,Raspberry___healthy,"Karen's Naturals, Organic Just Raspberries",https://image2url.com/images/1763635428642-0d62449e-2ca8-42e7-92b3-cedacabf6847.png,https://amzn.in/d/96LzOMh
25,Soybean___healthy,Max Crop Liquid Fertilizer,https://image2url.com/images/1763635542104-3ea28264-1ae2-441b-a244-4779ce16816f.png,https://amzn.in/d/dsm9BwU
26,Squash___Powdery_mildew,No powdery mildew 1 quart,https://www.kissanghar.pk/assets/img/product/21421320210822244.jpg,https://www.kissanghar.pk/product-details?name=Topsin-m-70-Wp-Thiophanate-Methyl-100gm-Arysta-Life-Science-Upl-Pakistan&c=447/1000
27,Strawberry___Leaf_scorch,Greatindos Premium Quality All in 1 Organic Fungicide,https://image2url.com/images/1763635647791-a6629163-40f8-4fdd-93cd-0d3b92639cd3.png,https://amzn.in/d/23HDb8v
28,Strawberry___healthy,SWISS GREEN ORGANIC PLANT GROWTH PROMOTER STRAWBERRY Fertilizer,https://image2url.com/images/1763635647791-a6629163-40f8-4fdd-93cd-0d3b92639cd3.png,https://amzn.in/d/23HDb8v
29,Tomato___Bacterial_spot,CUREAL Best Fungicide & Bactericide,https://image2url.com/images/1763635785226-372bb48f-db58-4cd5-bc3c-5680214bd3d3.png,https://amzn.in/d/fbjULA5
30,Tomato___Early_blight,NATIVO FUNGICIDE,https://image2url.com/images/1763635785226-372bb48f-db58-4cd5-bc3c-5680214bd3d3.png,https://amzn.in/d/fbjULA6
31,Tomato___Late_blight,ACROBAT FUNGICIDE,https://image2url.com/images/1763635881358-d71f6e4b-874c-44df-aafc-eb68e1918cad.png,https://amzn.in/d/5WnKcYD
32,Tomato___Leaf_Mold,Virus Special (Set of Immuno 1 ltr + Enviro 1 ltr),https://image2url.com/images/1763635881358-d71f6e4b-874c-44df-aafc-eb68e1918cad.png,https://amzn.in/d/5WnKcYD
33,Tomato___Septoria_leaf_spot,Roko Fungicide,https://image2url.com/images/1763635881358-d71f6e4b-874c-44df-aafc-eb68e1918cad.png,https://amzn.in/d/5WnKcYD
34,Tomato___Spider_mites Two-spotted_spider_mite,OMITE INSECTICIDE,https://image2url.com/images/1763636000270-b6ccfccb-1cde-4a1a-bdd3-cd31f8c29fc5.png,https://amzn.in/d/cCTW506
35,Tomato___Target_Spot,Propi Propineb 70% WP Fungicide for Plants Diesese Control Pesticide,https://image2url.com/images/1763636000270-b6ccfccb-1cde-4a1a-bdd3-cd31f8c29fc5.png,https://amzn.in/d/cCTW507
36,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Syngenta Amistor Top Fungicide,https://image2url.com/images/1763636000270-b6ccfccb-1cde-4a1a-bdd3-cd31f8c29fc5.png,https://amzn.in/d/cCTW508
37,Tomato___Tomato_mosaic_virus,V Bind Viral Disease Special,https://image2url.com/images/1763636000270-b6ccfccb-1cde-4a1a-bdd3-cd31f8c29fc5.png,https://amzn.in/d/cCTW509
38,Tomato___healthy,"Tomato Fertilizer Organic, for Home, Balcony, Terrace & Outdoor Gardening",https://image2url.com/images/1763636000270-b6ccfccb-1cde-4a1a-bdd3-cd31f8c29fc5.png,https://amzn.in/d/cCTW510
